user_id,session_id,timestamp,page_visited,product_id,action,duration_seconds,source,device,location
U001,SU001_02,2025-03-24 06:38:42,Produit: Thé vert Sencha,P101,view,13,facebook_ads,mobile,Suisse
U001,SU001_02,2025-03-24 06:39:22,Catégorie: Thés bio,,click,57,facebook_ads,mobile,Suisse
U001,SU001_02,2025-03-24 06:40:37,Produit: Thé vert Sencha,P101,view,28,facebook_ads,mobile,Suisse
U001,SU001_02,2025-03-24 06:41:16,Produit: Thé vert Sencha,P101,add_to_cart,78,facebook_ads,mobile,Suisse
U001,SU001_03,2025-03-30 06:39:48,Produit: Infusion menthe bio,P104,view,69,organic,desktop,Luxembourg
U001,SU001_03,2025-03-30 06:41:22,Catégorie: Thés bio,,click,14,organic,desktop,Luxembourg
U001,SU001_03,2025-03-30 06:42:03,Produit: Infusion menthe bio,P104,view,37,organic,desktop,Luxembourg
U002,SU002_04,2025-03-24 12:59:47,Produit: Thé noir Darjeeling bio (promo),P999,view,67,organic,tablet,Belgique
U002,SU002_04,2025-03-24 13:01:01,Catégorie: Thés bio,,click,18,organic,tablet,Belgique
U002,SU002_04,2025-03-24 13:01:43,Produit: Thé noir Darjeeling bio (promo),P999,view,13,organic,tablet,Belgique
U002,SU002_04,2025-03-24 13:02:17,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,12,organic,tablet,Belgique
U002,SU002_04,2025-03-24 13:02:38,Produit: Thé noir Darjeeling bio (promo),P999,purchase,66,organic,tablet,Belgique
U002,SU002_02,2025-03-30 07:11:36,Produit: Maté bio,P105,view,59,organic,desktop,Suisse
U002,SU002_02,2025-03-30 07:12:55,Catégorie: Thés bio,,click,40,organic,desktop,Suisse
U002,SU002_02,2025-03-30 07:13:59,Produit: Maté bio,P105,view,34,organic,desktop,Suisse
U002,SU002_02,2025-03-30 07:14:57,Produit: Maté bio,P105,add_to_cart,37,organic,desktop,Suisse
U002,SU002_03,2025-04-04 00:26:51,Produit: Maté bio,P105,view,69,facebook_ads,desktop,Suisse
U002,SU002_03,2025-04-04 00:28:18,Catégorie: Thés bio,,click,75,facebook_ads,desktop,Suisse
U002,SU002_03,2025-04-04 00:30:01,Produit: Maté bio,P105,view,63,facebook_ads,desktop,Suisse
U002,SU002_01,2025-04-04 06:17:09,Produit: Maté bio,P105,view,27,organic,desktop,Luxembourg
U002,SU002_01,2025-04-04 06:17:49,Catégorie: Thés bio,,click,28,organic,desktop,Luxembourg
U002,SU002_01,2025-04-04 06:18:38,Produit: Maté bio,P105,view,83,organic,desktop,Luxembourg
U002,SU002_01,2025-04-04 06:20:27,Produit: Maté bio,P105,add_to_cart,63,organic,desktop,Luxembourg
U002,SU002_01,2025-04-04 06:21:41,Produit: Maté bio,P105,purchase,76,organic,desktop,Luxembourg
U002,SU002_02,2025-04-06 07:05:55,Produit: Rooibos bio,P103,view,17,direct,mobile,France
U002,SU002_02,2025-04-06 07:06:40,Catégorie: Thés bio,,click,27,direct,mobile,France
U002,SU002_02,2025-04-06 07:07:34,Produit: Rooibos bio,P103,view,68,direct,mobile,France
U003,SU003_01,2025-03-09 04:08:26,Produit: Infusion menthe bio,P104,view,62,direct,desktop,Canada
U003,SU003_01,2025-03-09 04:09:47,Catégorie: Thés bio,,click,33,direct,desktop,Canada
U003,SU003_01,2025-03-09 04:10:46,Produit: Infusion menthe bio,P104,view,35,direct,desktop,Canada
U003,SU003_01,2025-03-09 04:11:47,Produit: Infusion menthe bio,P104,add_to_cart,49,direct,desktop,Canada
U003,SU003_01,2025-03-10 23:58:47,Produit: Thé blanc Bai Mu Dan P102,view,27,facebook_ads,desktop,Canada,
U003,SU003_01,2025-03-10 23:59:19,Catégorie: Thés bio,,click,71,facebook_ads,desktop,Canada
U003,SU003_01,2025-03-11 00:00:56,Produit: Thé blanc Bai Mu Dan P102,view,46,facebook_ads,desktop,Canada,
U004,SU004_03,2025-03-08 11:03:43,Produit: Thé vert Sencha,P101,view,80,organic,tablet,Canada
U004,SU004_03,2025-03-08 11:05:26,Catégorie: Thés bio,,click,82,organic,tablet,Canada
U004,SU004_03,2025-03-08 11:07:08,Produit: Thé vert Sencha,P101,view,55,organic,tablet,Canada
U004,SU004_03,2025-03-08 11:08:21,Produit: Thé vert Sencha,P101,add_to_cart,6,organic,tablet,Canada
U004,SU004_03,2025-03-08 11:08:48,Produit: Thé vert Sencha,P101,purchase,88,organic,tablet,Canada
U004,SU004_05,2025-03-11 02:32:01,Produit: Rooibos bio,P103,view,34,direct,desktop,Luxembourg
U004,SU004_05,2025-03-11 02:32:40,Catégorie: Thés bio,,click,59,direct,desktop,Luxembourg
U004,SU004_05,2025-03-11 02:34:09,Produit: Rooibos bio,P103,view,21,direct,desktop,Luxembourg
U004,SU004_04,2025-03-19 05:52:46,Produit: Thé noir Darjeeling bio (promo),P999,view,12,direct,tablet,Suisse
U004,SU004_04,2025-03-19 05:53:19,Catégorie: Thés bio,,click,76,direct,tablet,Suisse
U004,SU004_04,2025-03-19 05:54:57,Produit: Thé noir Darjeeling bio (promo),P999,view,81,direct,tablet,Suisse
U004,SU004_02,2025-04-05 08:02:35,Produit: Thé noir Darjeeling bio (promo),P999,view,27,organic,desktop,Suisse
U004,SU004_02,2025-04-05 08:03:16,Catégorie: Thés bio,,click,59,organic,desktop,Suisse
U004,SU004_02,2025-04-05 08:04:27,Produit: Thé noir Darjeeling bio (promo),P999,view,17,organic,desktop,Suisse
U004,SU004_02,2025-04-05 08:05:02,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,52,organic,desktop,Suisse
U004,SU004_02,2025-04-05 08:06:10,Produit: Thé noir Darjeeling bio (promo),P999,purchase,20,organic,desktop,Suisse
U004,SU004_02,2025-04-06 23:12:28,Produit: Thé noir Darjeeling bio (promo),P999,view,27,direct,tablet,France
U004,SU004_02,2025-04-06 23:13:07,Catégorie: Thés bio,,click,55,direct,tablet,France
U004,SU004_02,2025-04-06 23:14:26,Produit: Thé noir Darjeeling bio (promo),P999,view,6,direct,tablet,France
U004,SU004_02,2025-04-06 23:14:40,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,64,direct,tablet,France
U004,SU004_02,2025-04-06 23:15:54,Produit: Thé noir Darjeeling bio (promo),P999,purchase,46,direct,tablet,France
U005,SU005_02,2025-03-12 17:34:12,Produit: Thé noir Darjeeling bio (promo),P999,view,26,direct,mobile,Luxembourg
U005,SU005_02,2025-03-12 17:34:43,Catégorie: Thés bio,,click,16,direct,mobile,Luxembourg
U005,SU005_02,2025-03-12 17:35:28,Produit: Thé noir Darjeeling bio (promo),P999,view,56,direct,mobile,Luxembourg
U005,SU005_02,2025-03-12 17:36:29,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,7,direct,mobile,Luxembourg
U005,SU005_02,2025-03-12 17:37:05,Produit: Thé noir Darjeeling bio (promo),P999,purchase,54,direct,mobile,Luxembourg
U005,SU005_05,2025-03-22 02:49:00,Produit: Maté bio,P105,view,30,organic,tablet,Suisse
U005,SU005_05,2025-03-22 02:49:35,Catégorie: Thés bio,,click,67,organic,tablet,Suisse
U005,SU005_05,2025-03-22 02:51:05,Produit: Maté bio,P105,view,51,organic,tablet,Suisse
U005,SU005_01,2025-03-23 01:10:04,Produit: Thé blanc Bai Mu Dan,P102,view,9,organic,tablet,Suisse
U005,SU005_01,2025-03-23 01:10:26,Catégorie: Thés bio,,click,25,organic,tablet,Suisse
U005,SU005_01,2025-03-23 01:10:57,Produit: Thé blanc Bai Mu Dan,P102,view,14,organic,tablet,Suisse
U005,SU005_05,2025-04-03 01:32:24,Produit: Thé noir Darjeeling bio (promo),P999,view,25,direct,tablet,Canada
U005,SU005_05,2025-04-03 01:33:01,Catégorie: Thés bio,,click,36,direct,tablet,Canada
U005,SU005_05,2025-04-03 01:33:53,Produit: Thé noir Darjeeling bio (promo),P999,view,82,direct,tablet,Canada
U005,SU005_05,2025-04-03 01:35:31,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,26,direct,tablet,Canada
U006,SU006_01,2025-03-30 22:26:00,Produit: Maté bio,P105,view,9,facebook_ads,tablet,Luxembourg
U006,SU006_01,2025-03-30 22:26:14,Catégorie: Thés bio,,click,56,facebook_ads,tablet,Luxembourg
U006,SU006_01,2025-03-30 22:27:31,Produit: Maté bio,P105,view,67,facebook_ads,tablet,Luxembourg
U006,SU006_01,2025-03-30 22:28:49,Produit: Maté bio,P105,add_to_cart,55,facebook_ads,tablet,Luxembourg
U006,SU006_01,2025-03-30 22:29:58,Produit: Maté bio,P105,purchase,83,facebook_ads,tablet,Luxembourg
U007,SU007_02,2025-03-28 23:36:10,Produit: Thé noir Darjeeling bio (promo),P999,view,29,direct,desktop,Canada
U007,SU007_02,2025-03-28 23:37:08,Catégorie: Thés bio,,click,7,direct,desktop,Canada
U007,SU007_02,2025-03-28 23:37:23,Produit: Thé noir Darjeeling bio (promo),P999,view,39,direct,desktop,Canada
U007,SU007_02,2025-03-28 23:38:31,Produit: Thé noir Darjeeling bio (promo),P999,add_to_cart,57,direct,desktop,Canada
U007,SU007_02,2025-03-28 23:39:56,Produit: Thé noir Darjeeling bio (promo),P999,purchase,50,direct,desktop,Canada
U008,SU008_03,2025-03-11 21:30:42,Produit: Thé vert Sencha,P101,view,60,facebook_ads,tablet,Suisse
U008,SU008_03,2025-03-11 21:32:00,Catégorie: Thés bio,,click,46,facebook_ads,tablet,Suisse
U008,SU008_03,2025-03-11 21:33:16,Produit: Thé vert Sencha,P101,view,77,facebook_ads,tablet,Suisse
